,adg_long,adg_per_exposure_long,adg_per_exposure_short,adg_short,adg_weighted_long,adg_weighted_per_exposure_long,adg_weighted_per_exposure_short,adg_weighted_short,avg_fills_per_day_long,avg_fills_per_day_short,closest_bkr_long,closest_bkr_short,drawdown_1pct_worst_mean_long,drawdown_1pct_worst_mean_short,drawdown_max_long,drawdown_max_short,eqbal_ratio_mean_long,eqbal_ratio_mean_of_10_worst_long,eqbal_ratio_mean_of_10_worst_short,eqbal_ratio_mean_short,eqbal_ratio_min_long,eqbal_ratio_min_short,eqbal_ratio_std_long,eqbal_ratio_std_short,equity_balance_ratio_mean_long,equity_balance_ratio_mean_short,equity_balance_ratio_std_long,equity_balance_ratio_std_short,exchange,exposure_ratios_mean_long,exposure_ratios_mean_short,fee_sum_long,fee_sum_short,final_balance_long,final_balance_short,final_equity_long,final_equity_short,gain_long,gain_short,hrs_stuck_avg_long,hrs_stuck_avg_short,hrs_stuck_max_long,hrs_stuck_max_short,loss_profit_ratio_long,loss_profit_ratio_short,loss_sum_long,loss_sum_short,n_closes_long,n_closes_short,n_days,n_entries_long,n_entries_short,n_fills_long,n_fills_short,n_ientries_long,n_ientries_short,n_normal_closes_long,n_normal_closes_short,n_rentries_long,n_rentries_short,n_unstuck_closes_long,n_unstuck_closes_short,n_unstuck_entries_long,n_unstuck_entries_short,net_pnl_plus_fees_long,net_pnl_plus_fees_short,pa_distance_1pct_worst_mean_long,pa_distance_1pct_worst_mean_short,pa_distance_max_long,pa_distance_max_short,pa_distance_mean_long,pa_distance_mean_short,pa_distance_std_long,pa_distance_std_short,pnl_sum_long,pnl_sum_short,profit_sum_long,profit_sum_short,sharpe_ratio_long,sharpe_ratio_short,starting_balance,symbol,time_at_max_exposure_long,time_at_max_exposure_short,volume_quote_long,volume_quote_short
APTUSDT,0.000704728815187794,0.00234909605062598,0.0,0.0,-0.003844916360696471,-0.012816387868988236,0.0,0.0,46.03059805285118,0.0,1.0,1.0,0.0329108201100675,-0.0,0.03666850542961086,-0.0,0.9994195071597843,0.9837778396031652,1.0,1.0,0.979321415149745,,0.002143741160739051,0.0,0.9994195071597843,1.0,0.002143741160739051,0.0,binance,0.12085448961057427,0.0,-58.82362362,0.0,10213.293519225223,10000.0,10215.002076380058,10000.0,0.021329351922522166,0.0,0.5112602805999032,,44.53333333333333,,0.5954500222787555,1.0,-400.52445357257733,0.0,683,0,29.958333333333332,696,0,1379,0,124,0,166,0,60,0,517,0,512,0,213.29351922519012,0.0,0.07301431789335433,100.0,0.08806097276695869,100.0,0.014335727258204957,100.0,0.013308940553667424,1.0,272.11714284519013,0.0,672.6415964177675,0.0,0.16309354082555882,0.0,10000.0,APTUSDT,0.06111111111111111,0.0,3157678.5639892076,0.0
AVAXUSDT,0.003049193396812866,0.003049193396812866,0.0,0.0,0.0029576924568101457,0.0029576924568101457,0.0,0.0,21.79694019471488,0.0,0.9961268232488222,1.0,0.0777808713104756,-0.0,0.09327526071435052,-0.0,0.9988575350615916,0.938374163262484,1.0,1.0,0.9092673556523773,,0.007960434733422573,0.0,0.9988575350615916,1.0,0.007960434733422573,0.0,binance,0.041253879538749406,0.0,-138.7132194,0.0,10954.987780599937,10000.0,10954.987780599937,10000.0,0.09549877805999363,0.0,1.077939672801636,,61.96666666666667,,0.407445787724483,1.0,-752.0389801445551,0.0,334,0,29.958333333333332,319,0,653,0,129,0,227,0,63,0,107,0,127,0,954.9877805999638,0.0,0.07791436548160031,100.0,0.0995042259586829,100.0,0.011815287824538308,100.0,0.019773194408626366,1.0,1093.7009999999639,0.0,1845.739980144519,0.0,0.2980619068989578,0.0,10000.0,AVAXUSDT,0.029166666666666667,0.0,3323788.267468076,0.0
XTZUSDT,0.0004620417935037313,0.0015401393116791044,0.0,0.0,0.0003622632884305199,0.0012075442947683996,0.0,0.0,22.5980528511822,0.0,1.0,1.0,0.01345523677640981,-0.0,0.015583097128461596,-0.0,0.9992699544900296,0.987117503305804,1.0,1.0,0.9844655036328674,,0.002284090039440229,0.0,0.9992699544900296,1.0,0.002284090039440229,0.0,binance,0.12181910057608089,0.0,-16.66055228,0.0,10139.350047720034,10000.0,10139.065247720035,10000.0,0.01393500477200349,0.0,1.0281311637080868,,52.583333333333336,,0.018404131664464526,1.0,-2.925073053048608,0.0,306,0,29.958333333333332,371,0,677,0,300,0,305,0,71,0,1,0,0,0,139.35004772000082,0.0,0.04680033250706763,100.0,0.05460728989756595,100.0,0.009933906836275675,100.0,0.008801485873544058,1.0,156.0106000000008,0.0,158.9356730530494,0.0,0.1279972271287664,0.0,10000.0,XTZUSDT,0.09722222222222222,0.0,62250.413608539944,0.0
OCEANUSDT,0.0014505973510552383,0.0048353245035174615,0.0,0.0,0.0009078960001078107,0.003026320000359369,0.0,0.0,17.591098748261476,0.0,1.0,1.0,0.001516687076101476,-0.0,0.0040388769115675596,-0.0,0.9999498466035639,0.9986894354007582,1.0,1.0,0.9960208797135022,,0.0002077686162217541,0.0,0.9999498466035639,1.0,0.0002077686162217541,0.0,binance,0.023426020000766677,0.0,-18.2737355,0.0,10443.8269645,10000.0,10443.8269645,10000.0,0.044382696450000036,0.0,1.3382129277566541,,17.133333333333333,,0.0,1.0,0.0,0.0,289,0,29.958333333333332,238,0,527,0,152,0,289,0,85,0,0,0,1,0,443.8269645000009,0.0,0.02772142078582502,100.0,0.02993946533565324,100.0,0.009078785303235895,100.0,0.0069605682877838405,1.0,462.10070000000087,0.0,462.10070000000087,0.0,0.8794421816556004,0.0,10000.0,OCEANUSDT,0.002777777777777778,0.0,249716.0627534783,0.0
RNDRUSDT,0.002793795345554795,0.009312651151849316,0.0,0.0,0.001498540229501777,0.004995134098339257,0.0,0.0,50.67037552155772,0.0,1.0,1.0,0.01964591246799874,-0.0,0.02203323577970947,-0.0,0.9988399979207917,0.9810056140986111,1.0,1.0,0.9775666729296083,,0.0034419342087461955,0.0,0.9988399979207917,1.0,0.0034419342087461955,0.0,binance,0.1981767586452618,0.0,-72.364410346,0.0,10871.73003965399,10000.0,10871.54015965399,10000.0,0.08717300396539907,0.0,0.46587563172929025,,26.983333333333334,,0.19721165126840043,1.0,-231.9246732118192,0.0,1004,0,29.958333333333332,514,0,1518,0,220,0,916,0,209,0,88,0,85,0,871.7300396539994,0.0,0.07099797117849267,100.0,0.08080508656481576,100.0,0.009800759673274468,100.0,0.01370468349568263,1.0,944.0944499999994,0.0,1176.0191232118186,0.0,0.39398408993379985,0.0,10000.0,RNDRUSDT,0.1375,0.0,1761710.8202143256,0.0
SANDUSDT,0.0011623491511569828,0.0038744971705232762,0.0,0.0,0.0010168759134745464,0.003389586378248488,0.0,0.0,10.481223922114047,0.0,1.0,1.0,0.0007952897585463758,-0.0,0.0012671959051150084,-0.0,0.9999938622547082,0.9994649136712328,1.0,1.0,0.9976259161116803,,8.706876919766902e-05,0.0,0.9999938622547082,1.0,8.706876919766902e-05,0.0,binance,0.014483842516149198,0.0,-14.1499863,0.0,10354.144913700027,10000.0,10354.144913700027,10000.0,0.03541449137000274,0.0,2.250212992545261,,30.616666666666667,,0.0,1.0,0.0,0.0,154,0,29.958333333333332,160,0,314,0,97,0,154,0,63,0,0,0,0,0,354.14491370000053,0.0,0.01892590138846128,100.0,0.02132398624599747,100.0,0.005520053531469064,100.0,0.004273822473273893,1.0,368.29490000000055,0.0,368.29490000000055,0.0,0.8200977509755277,0.0,10000.0,SANDUSDT,0.0,0.0,114001.81141868516,0.0
GMTUSDT,0.0005092929704473281,0.0005092929704473281,0.0006078646559628531,0.0006078646559628531,0.0004713689889066508,0.0004713689889066508,0.00029562503940698813,0.00029562503940698813,10.581363004172463,9.947148817802503,1.0,0.8602067557407781,0.0057056155838456826,0.023137817311631694,0.009225681964605013,0.06963218241212496,0.99982069395152,0.9952605270489725,0.9831337433093201,0.9996749001576343,0.9887842059098567,0.9304811539220899,0.0006605085156916889,0.003118981091967096,0.99982069395152,0.9996749001576343,0.0006605085156916889,0.003118981091967096,binance,0.011307592353509671,0.011709037558298059,-6.961241599999999,-11.29737912,10153.706158400004,10183.718020879985,10153.706158400004,10182.831820879985,0.015370615840000434,0.0183718020879986,2.1662447257383968,2.3248597081930416,45.05,48.6,0.0,0.0,0.0,0.0,125,136,29.958333333333332,192,162,317,298,121,127,125,136,71,35,0,0,0,0,153.70615840000025,183.71802087999956,0.04385059488423964,0.04604528397536008,0.05352193785682437,0.06499231013498852,0.013055773277178754,0.015408697678371924,0.010994461422118918,0.011337936753838394,160.66740000000024,195.01539999999954,160.66740000000024,195.01539999999954,0.6777772492938754,0.3637488188016807,10000.0,GMTUSDT,0.0,0.004166666666666667,40577.22348090495,78554.00463094856
SUSHIUSDT,0.0006470959593745107,0.002156986531248369,0.0,0.0,-0.0004013340255281217,-0.0013377800850937391,0.0,0.0,17.624478442280946,0.0,1.0,1.0,0.012064718292612645,-0.0,0.01575683674070788,-0.0,0.9997105171801915,0.9925377207599096,1.0,1.0,0.9880871256021329,,0.0011100568985520176,0.0,0.9997105171801915,1.0,0.0011100568985520176,0.0,binance,0.07802914154357271,0.0,-16.45576218,0.0,10195.68651208,10000.0,10195.68651208,10000.0,0.019568651208,0.0,1.353383934218849,,29.816666666666666,,0.2509113005297218,1.0,-71.05288190614323,0.0,291,0,29.958333333333332,237,0,528,0,144,0,247,0,51,0,44,0,42,0,195.67063782000045,0.0,0.04433145646612741,100.0,0.05772760932341006,100.0,0.009158173102222047,100.0,0.008188153336211635,1.0,212.12640000000044,0.0,283.1792819061437,0.0,0.36491117125428896,0.0,10000.0,SUSHIUSDT,0.034722222222222224,0.0,377911.3450597573,0.0
LTCUSDT,0.00035906339459357284,0.0011968779819785762,0.0,0.0,0.0004212760577438024,0.0014042535258126747,0.0,0.0,7.243393602225313,0.0,1.0,1.0,0.0013607348573937395,-0.0,0.002058012345507629,-0.0,0.9999302867609763,0.9987722743624603,1.0,1.0,0.9951553473566302,,0.0001997655854094162,0.0,0.9999302867609763,1.0,0.0001997655854094162,0.0,binance,0.023526097587357547,0.0,-6.461368676,0.0,10108.130531323995,10000.0,10108.130531323995,10000.0,0.010813053132399553,0.0,3.1552469135802466,,35.083333333333336,,0.0,1.0,0.0,0.0,104,0,29.958333333333332,113,0,217,0,96,0,104,0,17,0,0,0,0,0,108.1305313240002,0.0,0.03840523044354064,100.0,0.041384124451535755,100.0,0.010562859442080207,100.0,0.009419841915728845,1.0,114.59190000000021,0.0,114.59190000000021,0.0,0.6747089746213271,0.0,10000.0,LTCUSDT,0.0,0.0,29534.512489483004,0.0
GALUSDT,0.0014182110376714796,0.0014182110376714796,0.0037229671030587497,0.0037229671030587497,0.0009078486655840657,0.0009078486655840657,0.0010262288394630836,0.0010262288394630836,70.1307371349096,8.545201668984701,0.9996802828437718,0.7258141889081904,0.0029731742495606593,0.11771533194317714,0.003228297509816934,0.1532906318195825,0.9997624098913425,0.9970827582200255,0.8949715725056595,0.9975832031446576,0.9936189090406551,0.8468787423597426,0.0004163845961811268,0.013386400304566715,0.9997624098913425,0.9975832031446576,0.0004163845961811268,0.013386400304566715,binance,0.02105471910753782,0.08594742714322068,-83.14853978,-31.6199577,10433.713360219963,11177.601142299993,10431.812160219963,11178.042142299993,0.043371336021996276,0.11776011422999932,0.3282777777777778,2.6966013071895425,15.8,36.4,0.0,0.023777998659117935,0.0,-29.453195743267177,990,125,29.958333333333332,1111,131,2101,256,985,64,990,121,126,64,0,4,0,3,433.71336022000105,1177.6011422999966,0.03069463547901501,0.1049074849947013,0.032986547502676516,0.13276654860461393,0.01128836926583171,0.011719077206862737,0.007153632632169319,0.015459330758015666,516.861900000001,1209.2210999999966,516.861900000001,1238.6742957432637,1.0094073481135029,0.17514220835313984,10000.0,GALUSDT,0.001388888888888889,0.043055555555555555,266932.9886711845,446987.7105612632
INJUSDT,0.0018958888309332789,0.006319629436444263,0.0,0.0,0.0020782496429365914,0.006927498809788639,0.0,0.0,12.917941585535466,0.0,1.0,1.0,0.029820197935403036,-0.0,0.033036706017224735,-0.0,0.9981936521433391,0.974794678826339,1.0,1.0,0.9698482010378318,,0.004306727588678813,0.0,0.9981936521433391,1.0,0.004306727588678813,0.0,binance,0.23159053188538428,0.0,-30.68570368,0.0,10583.847196320028,10000.0,10580.852296320028,10000.0,0.05838471963200287,0.0,1.8300949913644213,,40.81666666666667,,0.12597692721990592,1.0,-88.57542647162596,0.0,190,0,29.958333333333332,197,0,387,0,122,0,180,0,67,0,10,0,8,0,583.8471963200008,0.0,0.09749300104692127,100.0,0.11180240107581167,100.0,0.01660552931271777,100.0,0.01602673226216412,1.0,614.5329000000007,0.0,703.1083264716267,0.0,0.2952143411071759,0.0,10000.0,INJUSDT,0.08194444444444444,0.0,247827.43235775363,0.0
XRPUSDT,0.0010232449445384262,0.003410816481794754,0.0,0.0,0.0005705250679395979,0.0019017502264653263,0.0,0.0,8.979137691237831,0.0,1.0,1.0,0.0009390595209909559,-0.0,0.0012314688819610854,-0.0,0.9999716737485229,0.999319153766589,1.0,1.0,0.9962034313810714,,0.00013714733465909086,0.0,0.9999716737485229,1.0,0.00013714733465909086,0.0,binance,0.04262881103654189,0.0,-11.467567456000001,0.0,10311.132462544008,10000.0,10311.207162544008,10000.0,0.031113246254400817,0.0,2.580783582089552,,62.13333333333333,,0.0,1.0,0.0,0.0,99,0,29.958333333333332,170,0,269,0,80,0,99,0,90,0,0,0,0,0,311.1324625440011,0.0,0.020492188015582617,100.0,0.02380101122529152,100.0,0.005741855140751316,100.0,0.004499057614059626,1.0,322.6000300000011,0.0,322.6000300000011,0.0,0.8168351557578455,0.0,10000.0,XRPUSDT,0.0,0.0,72737.40772948437,0.0
KAVAUSDT,0.0003968312195326007,0.0003968312195326007,0.0005907923811656612,0.0005907923811656612,0.0003529541141327641,0.0003529541141327641,0.0003713306679837158,0.0003713306679837158,10.714881780250348,4.606397774687066,1.0,1.0,0.0020861275017839743,0.010530764904499225,0.0028759112676355766,0.011509076187677695,0.9999243546008556,0.9982719191800475,0.9897694273113349,0.9990565125629243,0.9957797316479776,0.9885308456971108,0.0002323877982558669,0.001999363504809967,0.9999243546008556,0.9990565125629243,0.0002323877982558669,0.001999363504809967,binance,0.005994104461797139,0.04284567234645856,-6.541685446,-8.282122059999999,10119.569634553996,10178.513937939997,10119.345814553997,10178.969637939997,0.011956963455399539,0.017851393793999693,2.1729166666666666,5.043187347931873,35.36666666666667,57.333333333333336,0.0,0.0,0.0,0.0,139,64,29.958333333333332,182,74,321,138,140,59,139,64,42,15,0,0,0,0,119.56963455399978,178.51393794000026,0.03770319310516279,0.04923946144525787,0.03984063745019935,0.05374419909081423,0.012062788490021412,0.016602397444060446,0.00996966533783651,0.011833310073076066,126.11131999999978,186.79606000000027,126.11131999999978,186.79606000000027,0.38867755231518475,0.27706030037152685,10000.0,KAVAUSDT,0.0,0.0,22207.522300000004,33405.72165217475
ONEUSDT,0.0008508493627885638,0.0028361645426285462,0.0,0.0,0.000696361152919267,0.0023212038430642234,0.0,0.0,14.35326842837274,0.0,1.0,1.0,0.013772321601043453,-0.0,0.015970536719953635,-0.0,0.9997370666699571,0.9882200267589264,1.0,1.0,0.9846027303675318,,0.0014957458124776925,0.0,0.9997370666699571,1.0,0.0014957458124776925,0.0,binance,0.050309209219794336,0.0,-14.944660766000002,0.0,10258.065599234002,10000.0,10258.043509234001,10000.0,0.025806559923400085,0.0,1.6433954933954933,,20.083333333333332,,0.13477981372677655,1.0,-42.528217177632,0.0,194,0,29.958333333333332,236,0,430,0,147,0,170,0,66,0,24,0,23,0,258.0655992340002,0.0,0.04492769680272597,100.0,0.05409836977252195,100.0,0.009825398127707326,100.0,0.009103184600784355,1.0,273.01026000000024,0.0,315.5384771776322,0.0,0.2610581275680085,0.0,10000.0,ONEUSDT,0.029166666666666667,0.0,208093.19976686995,0.0
CHRUSDT,0.0007845759926816687,0.002615253308938896,0.0,0.0,0.0006169491441731179,0.0020564971472437263,0.0,0.0,15.121001390820584,0.0,1.0,1.0,0.009414071615067578,-0.0,0.011839924257867179,-0.0,0.9993862189781139,0.9912423153681793,1.0,1.0,0.9864984254315922,,0.001581499260081569,0.0,0.9993862189781139,1.0,0.001581499260081569,0.0,binance,0.09717413289086674,0.0,-10.305733840000002,0.0,10237.735641099993,10000.0,10237.487241099992,10000.0,0.0237735641099992,0.0,1.5725294985250737,,38.416666666666664,,0.0059291837587616405,1.0,-1.4861555749128543,0.0,212,0,29.958333333333332,241,0,453,0,180,0,211,0,61,0,1,0,0,0,238.85906615999926,0.0,0.07281870303908708,100.0,0.10229168610840697,100.0,0.014529830890432504,100.0,0.013406591736906162,1.0,249.16479999999925,0.0,250.6509555749121,0.0,0.3673744309633977,0.0,10000.0,CHRUSDT,0.009722222222222222,0.0,67904.31740707808,0.0
SKLUSDT,0.0008542553967993971,0.002847517989331324,0.0,0.0,0.0008396802683938498,0.0027989342279794993,0.0,0.0,10.481223922114047,0.0,1.0,1.0,0.011908677983778957,-0.0,0.015339131271577804,-0.0,0.9996761330548859,0.9891456743416521,1.0,1.0,0.9848560015999599,,0.001456489072921958,0.0,0.9996761330548859,1.0,0.001456489072921958,0.0,binance,0.0699443536223611,0.0,-9.024685274,0.0,10259.111484726007,10000.0,10257.556524726007,10000.0,0.025911148472600676,0.0,2.240894568690096,,40.25,,0.07791913369528133,1.0,-22.658466130525127,0.0,173,0,29.958333333333332,141,0,314,0,88,0,162,0,43,0,11,0,10,0,259.1114847260007,0.0,0.043232777008714196,100.0,0.05316340504305212,100.0,0.013104209303046918,100.0,0.010381724883895237,1.0,268.1361700000007,0.0,290.7946361305258,0.0,0.31109228146523565,0.0,10000.0,SKLUSDT,0.04027777777777778,0.0,163411.009563787,0.0
ZILUSDT,0.0007571465328706228,0.0025238217762354096,0.0,0.0,-0.0003014138671504574,-0.0010047128905015248,0.0,0.0,30.175243393602226,0.0,1.0,1.0,0.019204771644108668,-0.0,0.02082809806553058,-0.0,0.999218851733121,0.9850116581152923,1.0,1.0,0.9824985966540929,,0.002743341935260462,0.0,0.999218851733121,1.0,0.002743341935260462,0.0,binance,0.10025812101851411,0.0,-26.878794632,0.0,10229.33280536797,10000.0,10229.33280536797,10000.0,0.022933280536796996,0.0,0.7824104835732743,,23.933333333333334,,0.15597637535706235,1.0,-47.34814941861318,0.0,398,0,29.958333333333332,506,0,904,0,338,0,388,0,159,0,10,0,9,0,229.33280536799862,0.0,0.0553165135927033,100.0,0.061952067523133494,100.0,0.009125561179850587,100.0,0.012032976823979106,1.0,256.2115999999986,0.0,303.5597494186118,0.0,0.22557013984662375,0.0,10000.0,ZILUSDT,0.0875,0.0,224841.16732921937,0.0
ALGOUSDT,0.0019294813942281053,0.0019294813942281053,0.00155506316927978,0.00155506316927978,0.0006650209074793523,0.0006650209074793523,0.0010686478973201963,0.0010686478973201963,6.208623087621697,3.3713490959666204,0.9901879500268483,0.7962223386755328,0.054381987226883276,0.09366483563979008,0.0656952613899856,0.1061214420213311,0.9966199351789721,0.9529375992964242,0.9103555651028353,0.9927770258907118,0.9408364604701662,0.8940629858205327,0.009132425367006192,0.017974883800025956,0.9966199351789721,0.9927770258907118,0.009132425367006192,0.017974883800025956,binance,0.1753509528562807,0.1668569530833498,-18.871559512,-13.874037546,10594.483546125928,10476.514192453995,10271.604170487986,10475.223552453996,0.05944835461259279,0.047651419245399396,3.731441441441442,6.925166666666667,32.86666666666667,43.7,0.029156962071873464,0.04221778321826991,-18.420662097799685,-21.615669641994558,91,51,29.958333333333332,95,50,186,101,40,34,82,47,55,16,9,4,0,0,594.4835461259395,476.5141924540002,0.05213526785343257,0.08614642706499896,0.06257602087344678,0.09577715289697446,0.01311190954125467,0.021642393540600376,0.010800171555312287,0.019880119701881728,613.3551056379395,490.3882300000002,631.7757677357391,512.0038996419947,0.11429553426590458,0.09768371935571134,10000.0,ALGOUSDT,0.12222222222222222,0.11527777777777778,497327.38495260885,151081.8226535478
TRXUSDT,-0.0004144140806173757,-0.0013813802687245857,0.0,0.0,-0.0004055261239713337,-0.0013517537465711125,0.0,0.0,1.1682892906815021,0.0,1.0,1.0,0.03495678743331255,-0.0,0.036557127738069566,-0.0,0.9933784633606567,0.966873466768565,1.0,1.0,0.9635621154729497,,0.0067971298045711535,0.0,0.9933784633606567,1.0,0.0067971298045711535,0.0,binance,0.7131008954727621,0.0,-2.075189818,0.0,9876.590534581466,10000.0,9809.358600181997,10000.0,-0.01234094654185336,0.0,20.19362745098039,,118.56666666666666,,71.52989380234636,1.0,-123.05459969375256,0.0,15,0,29.958333333333332,20,0,35,0,3,0,3,0,6,0,12,0,11,0,-123.40946541853106,0.0,0.1305353888723702,100.0,0.1382441212971833,100.0,0.02663142323771225,100.0,0.02354547153344633,1.0,-121.33427560053106,0.0,1.720324093221512,0.0,-0.08438061096046517,0.0,10000.0,TRXUSDT,0.6708333333333333,0.0,75588.31556238212,0.0
ALPHAUSDT,0.0007211054063607225,0.002403684687869075,0.0,0.0,0.0008706055288445925,0.002902018429481975,0.0,0.0,5.006954102920724,0.0,1.0,1.0,0.009364472116380489,-0.0,0.013676903529831684,-0.0,0.9997607301289407,0.991796271374651,1.0,1.0,0.9871103379626494,,0.001128163046162016,0.0,0.9997607301289407,1.0,0.001128163046162016,0.0,binance,0.06392157423031591,0.0,-6.281024024000001,0.0,10218.301975975994,10000.0,10218.301975975994,10000.0,0.02183019759759941,0.0,4.678635346756153,,43.8,,0.0,1.0,0.0,0.0,68,0,29.958333333333332,82,0,150,0,48,0,65,0,33,0,3,0,1,0,218.30197597600096,0.0,0.046030156736361225,100.0,0.051090975021925264,100.0,0.012423684363189568,100.0,0.010721895093812933,1.0,224.58300000000096,0.0,224.58300000000096,0.0,0.6952887096193899,0.0,10000.0,ALPHAUSDT,0.02638888888888889,0.0,59819.97222901653,0.0
DOTUSDT,0.0007196282823049849,0.0023987609410166164,0.0,0.0,-0.0002750462842369683,-0.0009168209474565611,0.0,0.0,6.5757997218358835,0.0,1.0,1.0,0.021120488419707817,-0.0,0.02470394674107973,-0.0,0.9985207624623652,0.9810276027354954,1.0,1.0,0.976707224104759,,0.003988864782568461,0.0,0.9985207624623652,1.0,0.003988864782568461,0.0,binance,0.17127539108594292,0.0,-9.02249934,0.0,10217.85012938345,10000.0,10073.450800660012,10000.0,0.021785012938345005,0.0,3.488350340136054,,43.55,,0.0845413328675256,1.0,-20.95137127656168,0.0,73,0,29.958333333333332,124,0,197,0,64,0,68,0,57,0,5,0,3,0,217.8501293834385,0.0,0.07033847294489544,100.0,0.08418062691167545,100.0,0.014465055434754761,100.0,0.016323983422102974,1.0,226.8726287234385,0.0,247.82400000000018,0.0,0.0894852804951571,0.0,10000.0,DOTUSDT,0.14444444444444443,0.0,71931.19691890146,0.0
