,adg_long,adg_per_exposure_long,adg_per_exposure_short,adg_short,adg_weighted_long,adg_weighted_per_exposure_long,adg_weighted_per_exposure_short,adg_weighted_short,avg_fills_per_day_long,avg_fills_per_day_short,closest_bkr_long,closest_bkr_short,drawdown_1pct_worst_mean_long,drawdown_1pct_worst_mean_short,drawdown_max_long,drawdown_max_short,eqbal_ratio_mean_long,eqbal_ratio_mean_of_10_worst_long,eqbal_ratio_mean_of_10_worst_short,eqbal_ratio_mean_short,eqbal_ratio_min_long,eqbal_ratio_min_short,eqbal_ratio_std_long,eqbal_ratio_std_short,equity_balance_ratio_mean_long,equity_balance_ratio_mean_short,equity_balance_ratio_std_long,equity_balance_ratio_std_short,exchange,exposure_ratios_mean_long,exposure_ratios_mean_short,fee_sum_long,fee_sum_short,final_balance_long,final_balance_short,final_equity_long,final_equity_short,gain_long,gain_short,hrs_stuck_avg_long,hrs_stuck_avg_short,hrs_stuck_max_long,hrs_stuck_max_short,loss_profit_ratio_long,loss_profit_ratio_short,loss_sum_long,loss_sum_short,n_closes_long,n_closes_short,n_days,n_entries_long,n_entries_short,n_fills_long,n_fills_short,n_ientries_long,n_ientries_short,n_normal_closes_long,n_normal_closes_short,n_rentries_long,n_rentries_short,n_unstuck_closes_long,n_unstuck_closes_short,n_unstuck_entries_long,n_unstuck_entries_short,net_pnl_plus_fees_long,net_pnl_plus_fees_short,pa_distance_1pct_worst_mean_long,pa_distance_1pct_worst_mean_short,pa_distance_max_long,pa_distance_max_short,pa_distance_mean_long,pa_distance_mean_short,pa_distance_std_long,pa_distance_std_short,pnl_sum_long,pnl_sum_short,profit_sum_long,profit_sum_short,sharpe_ratio_long,sharpe_ratio_short,starting_balance,symbol,time_at_max_exposure_long,time_at_max_exposure_short,volume_quote_long,volume_quote_short
BNBUSDT,0.0014480380776646928,0.0014480380776646928,0.000814486341362608,0.000814486341362608,0.0008015656725012477,0.0008015656725012477,0.0003653019458730311,0.0003653019458730311,41.49095966620306,32.51182197496523,1.0,0.7933941466700257,0.003156496622982578,0.09106218672510269,0.010446602234613536,0.10946830834568759,0.9998611205360174,0.9974283865995263,0.9127448004490614,0.9965650478172324,0.9896170290330039,0.8907696251287536,0.00044968816776156143,0.013428412904345498,0.9998611205360174,0.9965650478172324,0.00044968816776156143,0.013428412904345498,binance,0.020556501117785845,0.09685588684651508,-51.84319060000001,-52.38611456000001,10443.027409400009,10246.906085439956,10442.141409400008,10244.907285439956,0.04430274094000097,0.024690608543995518,0.563768115942029,0.7294107571085988,32.61666666666667,44.05,0.0,0.043984467054206874,0.0,-13.769868225799824,542,455,29.958333333333332,701,519,1243,974,536,450,542,449,165,69,0,6,0,0,443.02740939999967,246.90608544000605,0.01867886618384548,0.082797708012004,0.022208099187882167,0.09815520938580256,0.006182848190096463,0.014501944395076797,0.0045480863963837355,0.011969468602268513,494.8705999999997,299.29220000000606,494.8705999999997,313.0620682258059,1.081557193359398,0.049638582474845455,10000.0,BNBUSDT,0.0,0.06111111111111111,208826.22389989102,247893.0284522487
NEARUSDT,0.0006949304644479071,0.0023164348814930236,0.0,0.0,0.0008723982516408047,0.0029079941721360156,0.0,0.0,7.109874826147427,0.0,1.0,1.0,0.03125086177378788,-0.0,0.036739915463775544,-0.0,0.9988432384895403,0.9711849416664773,1.0,1.0,0.9636572206434968,,0.004522366092027672,0.0,0.9988432384895403,1.0,0.004522366092027672,0.0,binance,0.09204165213928016,0.0,-8.827977999999998,0.0,10210.298021999995,10000.0,10210.298021999995,10000.0,0.021029802199999503,0.0,3.2391509433962264,,42.1,,0.2952266154057948,1.0,-91.79096251578588,0.0,87,0,29.958333333333332,126,0,213,0,61,0,78,0,57,0,9,0,8,0,210.29802200000012,0.0,0.11486679833962057,100.0,0.137934429366041,100.0,0.01597206791006968,100.0,0.022739584121699498,1.0,219.12600000000012,0.0,310.916962515786,0.0,0.11698520452728046,0.0,10000.0,NEARUSDT,0.05694444444444444,0.0,111373.23608236853,0.0
OMGUSDT,0.0011974087055950378,0.00399136235198346,0.0,0.0,0.0013217099375981921,0.004405699791993974,0.0,0.0,6.1752433936022255,0.0,1.0,1.0,0.013479915627463349,-0.0,0.015062772500364478,-0.0,0.9993897273621634,0.9875101705986078,1.0,1.0,0.9859546021840163,,0.002203762723259811,0.0,0.9993897273621634,1.0,0.002203762723259811,0.0,binance,0.1102160810219344,0.0,-10.940757092000002,0.0,10365.01302290799,10000.0,10365.01302290799,10000.0,0.036501302290798954,0.0,3.6403985507246377,,44.38333333333333,,0.01623024729828007,1.0,-6.202490781370116,0.0,79,0,29.958333333333332,106,0,185,0,67,0,74,0,38,0,5,0,1,0,365.0130229079998,0.0,0.04459804167582353,100.0,0.049114864924758486,100.0,0.011156206246139585,100.0,0.010188945862814035,1.0,375.9537799999998,0.0,382.1562707813699,0.0,0.3015354745980711,0.0,10000.0,OMGUSDT,0.09166666666666666,0.0,65778.34193613216,0.0
COTIUSDT,0.0015288474339893998,0.005096158113297999,0.0,0.0,0.0021240181860674224,0.007080060620224741,0.0,0.0,5.774687065368568,0.0,1.0,1.0,0.004993677092807007,-0.0,0.010582404449190876,-0.0,0.9998456021969703,0.9955451650808923,1.0,1.0,0.9892267895562219,,0.0007206159814538012,0.0,0.9998456021969703,1.0,0.0007206159814538012,0.0,binance,0.07623938336147015,0.0,-10.989813982000001,0.0,10468.302038523989,10000.0,10468.302038523989,10000.0,0.04683020385239889,0.0,4.13875968992248,,30.75,,0.0032545860816160475,1.0,-1.5649476941360412,0.0,60,0,29.958333333333332,113,0,173,0,51,0,56,0,61,0,4,0,1,0,468.2890860179998,0.0,0.036409888548224266,100.0,0.0452923384234157,100.0,0.00953653511606155,100.0,0.00782505877010799,1.0,479.2788999999998,0.0,480.84384769413583,0.0,0.785668104525996,0.0,10000.0,COTIUSDT,0.015277777777777777,0.0,64973.17960556071,0.0
GRTUSDT,0.0006124934435844942,0.002041644811948314,0.0,0.0,-0.002873414385943118,-0.009578047953143728,0.0,0.0,13.618915159944368,0.0,1.0,1.0,0.04577000231196746,-0.0,0.04970720818905286,-0.0,0.9961925844558827,0.9662690174606041,1.0,1.0,0.9632910358118321,,0.00863931550566895,0.0,0.9961925844558827,1.0,0.00863931550566895,0.0,binance,0.2286674339245685,0.0,-15.909837094,0.0,10185.129441462886,10000.0,9964.011552905991,10000.0,0.018512944146288568,0.0,1.733251433251433,,62.11666666666667,,0.4871945358486441,1.0,-190.9988189497203,0.0,206,0,29.958333333333332,202,0,408,0,127,0,188,0,60,0,18,0,15,0,185.1294414628937,0.0,0.12838864607709746,100.0,0.1394238981635263,100.0,0.02510799585525093,100.0,0.029467846819733426,1.0,201.03927855689372,0.0,392.038097506614,0.0,-0.01709296190459736,0.0,10000.0,GRTUSDT,0.17777777777777778,0.0,238694.18781847158,0.0
EGLDUSDT,0.0007086102396955951,0.0023620341323186507,0.0,0.0,0.0005828529692519346,0.001942843230839782,0.0,0.0,17.25730180806676,0.0,1.0,1.0,0.01624293220345612,-0.0,0.02146971725741107,-0.0,0.9995763035857872,0.9850468926032937,1.0,1.0,0.9785917699844605,,0.0020782596930316154,0.0,0.9995763035857872,1.0,0.0020782596930316154,0.0,binance,0.06150760288990704,0.0,-21.4896384,0.0,10214.480361599995,10000.0,10214.480361599995,10000.0,0.021448036159999573,0.0,1.3222222222222222,,45.81666666666667,,0.25472568477467605,1.0,-80.65167228808477,0.0,297,0,29.958333333333332,220,0,517,0,151,0,271,0,43,0,26,0,26,0,214.48036159999728,0.0,0.05720994985552931,100.0,0.07691882608991395,100.0,0.010409008285654268,100.0,0.011294876088745779,1.0,235.96999999999727,0.0,316.62167228808204,0.0,0.25536390984365825,0.0,10000.0,EGLDUSDT,0.030555555555555555,0.0,356466.3765919127,0.0
COMPUSDT,0.0017709758337283166,0.0017709758337283166,0.00048501245774801305,0.00048501245774801305,0.001495166925460012,0.001495166925460012,0.0005102817259543313,0.0005102817259543313,10.114047287899862,2.403337969401947,0.9998840459488467,1.0,0.017012399047354767,0.005905272793582335,0.023701855954826878,0.006545510977597205,0.9995029639222746,0.9857290678360823,0.9944542237861708,0.9995806559838308,0.969121085515201,0.9935533884760341,0.0020023808104601298,0.0010440554122668974,0.9995029639222746,0.9995806559838308,0.0020023808104601298,0.0010440554122668974,binance,0.04846611475129575,0.023632574969946134,-20.610791824000003,-3.214361964,10544.386708176007,10146.326668036003,10544.071348176007,10145.581858036003,0.05443867081760079,0.014632666803600314,2.3211368653421633,9.713849765258216,23.216666666666665,47.983333333333334,0.00574514559438127,0.0,-3.2647493583543366,0.0,131,30,29.958333333333332,172,42,303,72,96,30,130,30,76,12,1,0,0,0,544.3867081759994,146.32666803599943,0.03753500269337652,0.054074437400682976,0.049597091651117954,0.0615869195812946,0.008527624773453948,0.01392011997507542,0.007327760795675559,0.011357360316583614,564.9974999999994,149.54102999999944,568.2622493583538,149.54102999999944,0.6524141993613252,0.2689176237508615,10000.0,COMPUSDT,0.005555555555555556,0.0,195418.54741738568,12772.381428312132
ADAUSDT,0.00087975636148796,0.002932521204959867,0.0,0.0,-0.0004460881587372567,-0.0014869605291241892,0.0,0.0,9.012517385257302,0.0,1.0,1.0,0.011935692521683453,-0.0,0.014879137715387588,-0.0,0.9997426334328608,0.9912570003823442,1.0,1.0,0.9895122233665875,,0.0012704633605046985,0.0,0.9997426334328608,1.0,0.0012704633605046985,0.0,binance,0.0869861435368737,0.0,-16.04329876,0.0,10266.945301239992,10000.0,10266.945301239992,10000.0,0.02669453012399914,0.0,2.5934324659231724,,47.21666666666667,,0.23079876491960338,1.0,-84.91070527142415,0.0,118,0,29.958333333333332,152,0,270,0,73,0,87,0,51,0,31,0,28,0,266.9453012399971,0.0,0.032972534189024065,100.0,0.03622547237625083,100.0,0.006903728415502405,100.0,0.006474650825364219,1.0,282.98859999999706,0.0,367.8993052714212,0.0,0.3095129097188861,0.0,10000.0,ADAUSDT,0.05,0.0,245549.52099596712,0.0
HBARUSDT,0.007229082396314146,0.007229082396314146,0.0,0.0,0.003943101211517597,0.003943101211517597,0.0,0.0,83.14881780250349,0.0,0.9998232685006166,1.0,0.014383999018397554,-0.0,0.01770996488034337,-0.0,0.9997859487915968,0.987654504352783,1.0,1.0,0.9804121944017655,,0.0016605409609923257,0.0,0.9997859487915968,1.0,0.0016605409609923257,0.0,binance,0.057693095781621746,0.0,-144.1952698,0.0,12408.445130199965,10000.0,12408.445130199965,10000.0,0.24084451301999654,0.0,0.2756358768406961,,44.333333333333336,,0.00018273655647923264,1.0,-0.46654597163006434,0.0,2169,0,29.958333333333332,322,0,2491,0,253,0,2163,0,69,0,6,0,0,0,2408.445130199991,0.0,0.022862289712741842,100.0,0.02598634392850697,100.0,0.006769820249386285,100.0,0.005370497120193717,1.0,2552.640399999991,0.0,2553.1069459716214,0.0,0.7682610791787995,0.0,10000.0,HBARUSDT,0.022222222222222223,0.0,2405555.041535084,0.0
FETUSDT,0.006917874278615788,0.00553429942289263,0.0,0.0,0.005765323964138114,0.0046122591713104915,0.0,0.0,56.51182197496523,0.0,0.756403808523326,1.0,0.15585790041059486,-0.0,0.19208373446935256,-0.0,0.9932198957277841,0.855086823514972,1.0,1.0,0.8078282811139313,,0.022651069267147446,0.0,0.9932198957277841,1.0,0.022651069267147446,0.0,binance,0.15334370549892007,0.0,-173.63986514,0.0,12294.100434860065,10000.0,12291.897234860066,10000.0,0.22941004348600647,0.0,0.39474980299448387,,23.066666666666666,,0.02292151539754368,1.0,-57.89130369256195,0.0,721,0,29.958333333333332,972,0,1693,0,641,0,717,0,328,0,4,0,3,0,2294.100434859998,0.0,0.14283984399083083,100.0,0.18165682566401642,100.0,0.014283939446896926,100.0,0.01992882062981805,1.0,2467.740299999998,0.0,2525.63160369256,0.0,0.2228905671508737,0.0,10000.0,FETUSDT,0.075,0.0,1148607.46039802,0.0
CRVUSDT,0.0004989954833445331,0.0016633182778151105,0.0,0.0,0.0005479575098214174,0.001826525032738058,0.0,0.0,5.474269819193324,0.0,1.0,1.0,0.003962756718039746,-0.0,0.006211200595714064,-0.0,0.9998820913297085,0.9965946836864245,1.0,1.0,0.9938372749584038,,0.0005019709453540446,0.0,0.9998820913297085,1.0,0.0005019709453540446,0.0,binance,0.030281054580456854,0.0,-4.21765378,0.0,10150.575846220006,10000.0,10150.575846220006,10000.0,0.015057584622000686,0.0,4.261656441717792,,46.916666666666664,,0.0,1.0,0.0,0.0,68,0,29.958333333333332,96,0,164,0,58,0,68,0,38,0,0,0,0,0,150.5758462200001,0.0,0.041818871278881085,100.0,0.05047466267542019,100.0,0.009353301022388441,100.0,0.00828539594038715,1.0,154.7935000000001,0.0,154.7935000000001,0.0,0.5255808962140291,0.0,10000.0,CRVUSDT,0.0,0.0,23904.908469886082,0.0
MANAUSDT,0.0010574623318819754,0.0035248744396065845,0.0,0.0,0.0009624881630150295,0.0032082938767167652,0.0,0.0,18.692628650904034,0.0,1.0,1.0,0.01599122402351176,-0.0,0.02110083819316735,-0.0,0.9996619254716674,0.9855231915373883,1.0,1.0,0.979253609842558,,0.0019896182317007526,0.0,0.9996619254716674,1.0,0.0019896182317007526,0.0,binance,0.053306863118964654,0.0,-24.667814720000003,0.0,10321.696785280037,10000.0,10321.696785280037,10000.0,0.032169678528003676,0.0,1.2211985688729874,,29.416666666666668,,0.19512939841744517,1.0,-83.97115747327597,0.0,256,0,29.958333333333332,304,0,560,0,167,0,238,0,120,0,18,0,17,0,321.6967852800002,0.0,0.055111711679160305,100.0,0.07429045997750572,100.0,0.006721290416504263,100.0,0.009585927688147493,1.0,346.3646000000002,0.0,430.3357574732762,0.0,0.3350129293471529,0.0,10000.0,MANAUSDT,0.030555555555555555,0.0,272567.39730589045,0.0
FTMUSDT,0.0010048601806142976,0.0033495339353809923,0.0,0.0,0.00053020653585516,0.0017673551195172001,0.0,0.0,21.46314325452017,0.0,1.0,1.0,0.007014945611268158,-0.0,0.012095352036801935,-0.0,0.9998581818553731,0.9947094421143572,1.0,1.0,0.9881565630627027,,0.0007419678936919043,0.0,0.9998581818553731,1.0,0.0007419678936919043,0.0,binance,0.04499184231274936,0.0,-17.631384760000003,0.0,10305.460642736414,10000.0,10294.903015240003,10000.0,0.030546064273641482,0.0,1.1119418483904464,,17.033333333333335,,0.040933257914668536,1.0,-13.789665214464426,0.0,256,0,29.958333333333332,387,0,643,0,242,0,248,0,138,0,8,0,7,0,305.46064273641224,0.0,0.0280690771217748,100.0,0.04110136023391343,100.0,0.007592887057566674,100.0,0.0059471779050699666,1.0,323.09202749641224,0.0,336.8816927108767,0.0,0.9075423464775493,0.0,10000.0,FTMUSDT,0.016666666666666666,0.0,118508.00700086345,0.0
EOSUSDT,0.0004922116236620866,0.0004922116236620866,0.00108899403049878,0.00108899403049878,0.0004436125329967622,0.0004436125329967622,0.0005069478159624552,0.0005069478159624552,5.941585535465925,8.044506258692628,1.0,1.0,0.0079377920958951,0.005366078526493171,0.009112315656883804,0.006871075463933279,0.9994730631347193,0.992451194464809,0.9953785286975076,0.9997762054942088,0.9909271178771394,0.9904068391261656,0.0013482131285935746,0.0007303509918935239,0.9994730631347193,0.9997762054942088,0.0013482131285935746,0.0007303509918935239,binance,0.02932041195067998,0.028020643853860303,-7.938955780000001,-15.23911284,10148.51414421999,10331.441187159999,10148.51414421999,10328.03288716,0.014851414421998888,0.03314411871599976,3.821280602636535,2.892986111111111,56.93333333333333,22.2,0.0,0.0,0.0,0.0,72,98,29.958333333333332,106,143,178,241,72,94,72,98,34,49,0,0,0,0,148.51414421999988,331.44118716000054,0.044840687498829926,0.025333946886545323,0.047775153387007475,0.028124140081019496,0.013046023008364563,0.007768712289708658,0.010721395360177776,0.006013352441407553,156.4530999999999,346.68030000000056,156.4530999999999,346.68030000000056,0.24741987274365287,0.47570218832931427,10000.0,EOSUSDT,0.0,0.0,32907.0104,70664.72623111456
VETUSDT,0.0006797570929184538,0.002265856976394846,0.0,0.0,0.0005296099035193124,0.0017653663450643748,0.0,0.0,36.85118219749653,0.0,1.0,1.0,0.014361071241823786,-0.0,0.020393069059704602,-0.0,0.9996982314138061,0.9884177436718854,1.0,1.0,0.9835922755342105,,0.0014903714499327047,0.0,0.9996982314138061,1.0,0.0014903714499327047,0.0,binance,0.05809966351920023,0.0,-24.008287915800004,0.0,10205.660979084229,10000.0,10205.073119084229,10000.0,0.020566097908422787,0.0,0.6346025989724992,,26.366666666666667,,0.16187322933969733,1.0,-44.35761656924709,0.0,542,0,29.958333333333332,562,0,1104,0,414,0,528,0,135,0,14,0,13,0,205.66097908419889,0.0,0.044908427712204824,100.0,0.057856897287362846,100.0,0.00832876066547762,100.0,0.0073195201402515685,1.0,229.66926699999888,0.0,274.02688356924597,0.0,0.22321676851809638,0.0,10000.0,VETUSDT,0.025,0.0,279248.7916845917,0.0
AXSUSDT,0.0009042401211689644,0.0030141337372298813,0.0,0.0,0.0007697499794196095,0.0025658332647320314,0.0,0.0,8.778859527121002,0.0,1.0,1.0,0.013319064795735166,-0.0,0.01730871510987989,-0.0,0.9992707838990742,0.9880111023260479,1.0,1.0,0.9829373605731927,,0.0022190124671040883,0.0,0.9992707838990742,1.0,0.0022190124671040883,0.0,binance,0.1190890159397035,0.0,-9.578923800000002,0.0,10274.472076200005,10000.0,10274.688076200006,10000.0,0.027447207620000524,0.0,2.687849872773537,,34.18333333333333,,0.0452869487684053,1.0,-13.473999405391789,0.0,98,0,29.958333333333332,165,0,263,0,87,0,95,0,76,0,3,0,2,0,274.4720761999999,0.0,0.06285150895345602,100.0,0.07080592641592055,100.0,0.011582735989385464,100.0,0.012688599346492597,1.0,284.0509999999999,0.0,297.52499940539167,0.0,0.33568595930598577,0.0,10000.0,AXSUSDT,0.03194444444444444,0.0,67314.07975225107,0.0
AAVEUSDT,0.0008390359956165216,0.002796786652055072,0.0,0.0,0.0006281103166839274,0.0020937010556130917,0.0,0.0,12.717663421418637,0.0,1.0,1.0,0.0012384860179955948,-0.0,0.0017849911622473636,-0.0,0.9999722963771824,0.9990237202142975,1.0,1.0,0.9964127700020503,,0.00013696789189272427,0.0,0.9999722963771824,1.0,0.00013696789189272427,0.0,binance,0.021445600383146655,0.0,-13.7081142,0.0,10254.438885799993,10000.0,10254.438885799993,10000.0,0.02544388857999924,0.0,1.8383771929824562,,27.566666666666666,,0.0,1.0,0.0,0.0,182,0,29.958333333333332,199,0,381,0,136,0,182,0,63,0,0,0,0,0,254.43888580000026,0.0,0.019998211924781323,100.0,0.02220843767470003,100.0,0.005228644410978119,100.0,0.004738319711881034,1.0,268.1470000000003,0.0,268.1470000000003,0.0,0.7509089093134518,0.0,10000.0,AAVEUSDT,0.0,0.0,83873.63068908162,0.0
CHZUSDT,0.002046620559018608,0.002046620559018608,0.0013029510968207703,0.0013029510968207703,0.0015855741691068515,0.0015855741691068515,0.0021386966436816256,0.0021386966436816256,16.6230876216968,9.41307371349096,0.9998438776977557,0.9538074545864921,0.003971522659667037,0.040851685398959205,0.006348660378905319,0.046469206018321565,0.9999031274662242,0.9969556842448819,0.9619765836090848,0.9985748296318913,0.991466533196766,0.9561718889082628,0.0004578216844657484,0.005578410678653806,0.9999031274662242,0.9985748296318913,0.0004578216844657484,0.005578410678653806,binance,0.01389394141621916,0.07832305786092873,-34.36288855,-24.861155846,10631.653991450014,10397.79670570601,10631.604371450014,10399.121855706011,0.06316539914500141,0.039779670570601056,1.3930583501006037,2.5332147093712933,29.516666666666666,29.666666666666668,0.0,0.08502583798725405,0.0,-39.44321826322678,245,159,29.958333333333332,253,123,498,282,178,100,245,154,75,23,0,5,0,0,631.6539914499987,399.59247415399864,0.024757798345918954,0.04197684306923633,0.02644679527069062,0.046202100229151784,0.007029919397051989,0.012047245358999984,0.006127196665524434,0.009823683660431815,666.0168799999987,424.4536299999986,666.0168799999987,463.8968482632254,0.665934577163186,0.21843433579254057,10000.0,CHZUSDT,0.001388888888888889,0.05138888888888889,371619.8965402024,309792.77618408704
GALAUSDT,0.0014832832234152882,0.004944277411384294,0.0,0.0,0.0012042081786748592,0.004014027262249531,0.0,0.0,17.357440890125176,0.0,1.0,1.0,0.02255874402545007,-0.0,0.028730080743805966,-0.0,0.9993955628202051,0.9795384118115271,1.0,1.0,0.9746675952107089,,0.002758524568530412,0.0,0.9993955628202051,1.0,0.002758524568530412,0.0,binance,0.0829890623614412,0.0,-29.338917204,0.0,10454.043722795983,10000.0,10454.043722795983,10000.0,0.04540437227959826,0.0,1.3552986512524083,,27.633333333333333,,0.10018618270134258,1.0,-53.82031321888836,0.0,216,0,29.958333333333332,304,0,520,0,201,0,208,0,97,0,8,0,6,0,454.04372279600017,0.0,0.07676275711226369,100.0,0.0922282996121938,100.0,0.01126854207338643,100.0,0.015433750649654186,1.0,483.38264000000015,0.0,537.2029532188885,0.0,0.29281961643996085,0.0,10000.0,GALAUSDT,0.041666666666666664,0.0,149158.2036665348,0.0
DYDXUSDT,0.0006877415119408425,0.0022924717064694753,0.0,0.0,0.000744628945454795,0.0024820964848493166,0.0,0.0,6.342141863699583,0.0,1.0,1.0,0.0030428979928235375,-0.0,0.0035774920258848904,-0.0,0.9997666559426042,0.9970971811229015,1.0,1.0,0.9964616319238427,,0.00045900760451214254,0.0,0.9997666559426042,1.0,0.00045900760451214254,0.0,binance,0.0575894167886012,0.0,-7.4181044,0.0,10208.1007956,10000.0,10207.8887956,10000.0,0.020810079559999917,0.0,3.735978835978836,,45.266666666666666,,0.0,1.0,0.0,0.0,80,0,29.958333333333332,110,0,190,0,77,0,80,0,33,0,0,0,0,0,208.10079560000003,0.0,0.046584546614836186,100.0,0.05062925345316544,100.0,0.013666651218478222,100.0,0.011220872701493226,1.0,215.51890000000003,0.0,215.51890000000003,0.0,0.5342968673036593,0.0,10000.0,DYDXUSDT,0.0,0.0,27278.07379447842,0.0
1INCHUSDT,0.0008012010002529379,0.0026706700008431268,0.0,0.0,0.000546462454542107,0.001821541515140357,0.0,0.0,16.6230876216968,0.0,1.0,1.0,0.0015595982894713867,-0.0,0.0028213803305950054,-0.0,0.9999183784937256,0.998670046996963,1.0,1.0,0.9932950159768772,,0.0002011532296482284,0.0,0.9999183784937256,1.0,0.0002011532296482284,0.0,binance,0.03579500834279249,0.0,-13.539149420000001,0.0,10242.83185058001,10000.0,10242.099250580011,10000.0,0.024283185058000978,0.0,1.4117706237424548,,25.516666666666666,,0.0,1.0,0.0,0.0,213,0,29.958333333333332,285,0,498,0,200,0,213,0,85,0,0,0,0,0,242.83185057999992,0.0,0.027408636114141176,100.0,0.029587822815118833,100.0,0.007972065437332497,100.0,0.006689866575376455,1.0,256.3709999999999,0.0,256.3709999999999,0.0,0.9873622642775595,0.0,10000.0,1INCHUSDT,0.0,0.0,61933.27387599244,0.0
ENJUSDT,-0.0012155063944097044,-0.004051687981365681,0.0,0.0,0.0003391670251028378,0.0011305567503427927,0.0,0.0,15.321279554937414,0.0,1.0,1.0,0.08538152416542691,-0.0,0.08723262953918001,-0.0,0.9948794477538995,0.9510054215069708,1.0,1.0,0.9446379608024782,,0.01135371189688168,0.0,0.9948794477538995,1.0,0.01135371189688168,0.0,binance,0.23567530474980197,0.0,-13.34927892,0.0,9642.191321079981,10000.0,9642.084721079982,10000.0,-0.035780867892001855,0.0,1.5398835516739449,,65.03333333333333,,2.7120026727107613,1.0,-545.6620064507173,0.0,227,0,29.958333333333332,232,0,459,0,139,0,186,0,53,0,41,0,40,0,-357.8086789199998,0.0,0.20547631510125758,100.0,0.22630814919001044,100.0,0.026740403912262217,100.0,0.04178327708351475,1.0,-344.4593999999998,0.0,201.2026064507175,0.0,-0.10816779689516537,0.0,10000.0,ENJUSDT,0.2111111111111111,0.0,328226.5711686575,0.0
SXPUSDT,0.000648613956898636,0.0021620465229954533,0.0,0.0,0.0006274868169480197,0.0020916227231600657,0.0,0.0,10.848400556328235,0.0,1.0,1.0,0.004310126325492579,-0.0,0.005811342835762661,-0.0,0.9998450658719564,0.9962500181060486,1.0,1.0,0.992656354745782,,0.0005750394534329608,0.0,0.9998450658719564,1.0,0.0005750394534329608,0.0,binance,0.04136931511295935,0.0,-10.133271654000001,0.0,10196.149888345999,10000.0,10196.122628345998,10000.0,0.0196149888346,0.0,2.199022633744856,,26.433333333333334,,0.0006145003166146274,1.0,-0.1268390097439129,0.0,140,0,29.958333333333332,185,0,325,0,130,0,139,0,55,0,1,0,0,0,196.14988834600055,0.0,0.04078980585389443,100.0,0.062337363752121504,100.0,0.009144306191773014,100.0,0.008565306661555703,1.0,206.28316000000055,0.0,206.40999900974447,0.0,0.5201929343230993,0.0,10000.0,SXPUSDT,0.002777777777777778,0.0,49994.90262914754,0.0
ROSEUSDT,0.0011111215806056673,0.003703738602018891,0.0,0.0,0.0008960775020364409,0.002986925006788136,0.0,0.0,5.808066759388039,0.0,1.0,1.0,0.006617655154658931,-0.0,0.009007954381887473,-0.0,0.9998823759550791,0.9946772487166017,1.0,1.0,0.9910904802328715,,0.0007545801648036637,0.0,0.9998823759550791,1.0,0.0007545801648036637,0.0,binance,0.057397018191004553,0.0,-7.24275396,0.0,10338.284686039991,10000.0,10338.284686039991,10000.0,0.03382846860399913,0.0,3.9552023121387285,,48.46666666666667,,0.0,1.0,0.0,0.0,59,0,29.958333333333332,115,0,174,0,57,0,58,0,58,0,1,0,0,0,338.2846860400005,0.0,0.035803363257387415,100.0,0.048219542616701756,100.0,0.007991601689148243,100.0,0.006811646263408703,1.0,345.5274400000005,0.0,345.5274400000005,0.0,0.6474344581112993,0.0,10000.0,ROSEUSDT,0.008333333333333333,0.0,30350.347187788473,0.0
