title,link,published,description,author,category,guid
For Sale - XT Phayathai,http://www.ddproperty.com/property/xt-phayathai-เอ็กซ์ที-พญาไท-กรุงเทพ-ขาย-10972139,"Sat, 02 Nov 2024 00:40:34 +0700","฿ 11,900,000 บาท,
       83 sqft / 7.69 sqm (built-up)        - Condo,
        แขวงถนนพญาไท เขตราชเทวี กทม. (TH1037)",,Condo For Sale,
For Sale - The Crest Park Residences,http://www.ddproperty.com/property/the-crest-park-residences-เดอะ-เครสท์-พาร์ค-เรสซิเดนเซส-กรุงเทพ-ขาย-10563152,"Sat, 02 Nov 2024 00:40:00 +0700","฿ 5,890,000 บาท,
       32 sqft / 2.97 sqm (built-up)        - Condo,
       1198 ถ.พหลโยธิน (TH1030)",,Condo For Sale,
For Sale - The Crest Park Residences,http://www.ddproperty.com/property/the-crest-park-residences-เดอะ-เครสท์-พาร์ค-เรสซิเดนเซส-กรุงเทพ-ขาย-11385397,"Sat, 02 Nov 2024 00:38:34 +0700","฿ 6,390,000 บาท,
       35 sqft / 3.25 sqm (built-up)        - Condo,
       1198 ถ.พหลโยธิน (TH1030)",,Condo For Sale,
For Sale - พหลโยธิน ปาร์ค คอนโดมิเนียม,http://www.ddproperty.com/property/-ขาย-10600361,"Sat, 02 Nov 2024 00:27:58 +0700","฿ 6,200,000 บาท,
       83 sqft / 7.71 sqm (built-up)        - Condo,
        พหลโยธิน (TH1014)",,Condo For Sale,
For Sale - The Bangkok Sathorn : เดอะ แบงค็อก สาทร,http://www.ddproperty.com/property/-ขาย-11526112,"Sat, 02 Nov 2024 00:27:41 +0700","฿ 17,500,000,
       62 sqft / 5.72 sqm (built-up)        - Condo,
       111 ถนนสาทรใต้ (TH1028)",,Condo For Sale,
For Sale - Lumpini Place Borom Ratchachonni - Pinklao : ลุมพินี เพลส บรมราชชนนี - ปิ่นเกล้า,http://www.ddproperty.com/property/-ขาย-11589537,"Sat, 02 Nov 2024 00:26:47 +0700","฿ 1,820,000 บาท,
       28 sqft / 2.62 sqm (built-up)        - Condo,
        ถนนบรมราชชนนี (TH1019)",,Condo For Sale,
For Sale - U Delight Rattanathibet : ยู ดีไลท์ รัตนาธิเบศร์,http://www.ddproperty.com/property/-ขาย-11589561,"Sat, 02 Nov 2024 00:18:02 +0700","฿ 1,739,000 บาท,
       32 sqft / 2.97 sqm (built-up)        - Condo,
        ถนนรัตนาธิเบศร์ ตำบลบางกระสอ อำเภอเมืองนนทบุรี นนทบุรี (TH1201)",,Condo For Sale,
For Sale - The Crest Park Residences,http://www.ddproperty.com/property/the-crest-park-residences-เดอะ-เครสท์-พาร์ค-เรสซิเดนเซส-กรุงเทพ-ขาย-11385383,"Sat, 02 Nov 2024 00:05:43 +0700","฿ 8,390,000,
       42 sqft / 3.90 sqm (built-up)        - Condo,
       1198 ถ.พหลโยธิน (TH1030)",,Condo For Sale,
For Sale - La Habana Hua Hin,http://www.ddproperty.com/property/-ขาย-11537456,"Sat, 02 Nov 2024 00:02:15 +0700","฿ 8,200,000 บาท,
       98 sqft / 9.10 sqm (built-up)        - Condo,
        ซอยหัวหิน 23 (TH7707)",,Condo For Sale,
For Sale - My Resort Hua Hin,http://www.ddproperty.com/property/-ขาย-11309910,"Sat, 02 Nov 2024 00:01:56 +0700","฿ 6,450,000 บาท,
       98 sqft / 9.10 sqm (built-up)        - Condo,
        ถนนตะเกียบ (TH7707)",,Condo For Sale,
For Sale - Autumn Condominium : ออทัมน์ คอนโดมิเนียม,http://www.ddproperty.com/property/-ขาย-11309956,"Sat, 02 Nov 2024 00:01:55 +0700","฿ 4,950,000 บาท,
       64 sqft / 5.95 sqm (built-up)        - Condo,
        หนองแก-ตะเกียบ (TH7707)",,Condo For Sale,
For Sale - The Breeze Hua Hin : เดอะ บรีซ หัวหิน,http://www.ddproperty.com/property/-ขาย-11309545,"Sat, 02 Nov 2024 00:01:54 +0700","฿ 6,350,000 บาท,
       109 sqft / 10.13 sqm (built-up)        - Condo,
        ซอยอ่าวหัวดอน (TH7707)",,Condo For Sale,
For Sale - La Habana Hua Hin,http://www.ddproperty.com/property/-ขาย-11309806,"Sat, 02 Nov 2024 00:01:52 +0700","฿ 7,890,000 บาท,
       61 sqft / 5.67 sqm (built-up)        - Condo,
        ซอยหัวหิน 23 (TH7707)",,Condo For Sale,
For Sale - The Beach Palace : เดอะ บีช พาเลซ,http://www.ddproperty.com/property/-ขาย-11309761,"Sat, 02 Nov 2024 00:01:51 +0700","฿ 9,800,000 บาท,
       155 sqft / 14.40 sqm (built-up)        - Condo,
        ภูมิเวท (TH7604)",,Condo For Sale,
For Sale - The Royal Princess Hua Hin : เดอะรอยัล ปริ๊นเซส,http://www.ddproperty.com/property/-ขาย-11484499,"Sat, 02 Nov 2024 00:01:46 +0700","฿ 19,500,000 บาท,
       280 sqft / 26.01 sqm (built-up)        - Condo,
       61-14  (TH7707)",,Condo For Sale,
For Sale - Baan Suan Rim Sai : บ้านสรวลริมทราย,http://www.ddproperty.com/property/-ขาย-11313586,"Sat, 02 Nov 2024 00:01:14 +0700","฿ 36,000,000 บาท,
       157 sqft / 14.59 sqm (built-up)        - Condo,
       70 หนองแก-ตะเกียบ (TH7707)",,Condo For Sale,
For Sale - Scope Langsuan,http://www.ddproperty.com/property/-ขาย-11346822,"Fri, 01 Nov 2024 23:56:34 +0700","฿ 114,000,000 บาท,
       168 sqft / 15.61 sqm (built-up)        - Condo,
        ถนนหลังสวน (TH1007)",,Condo For Sale,
For Sale - Windshell Naradhiwas : วินด์เชลล์ นราธิวาส,http://www.ddproperty.com/property/-ขาย-11346398,"Fri, 01 Nov 2024 23:56:34 +0700","฿ 195,000,000 บาท,
       453 sqft / 42.11 sqm (built-up)        - Condo,
        ถนนนราธิวาสราชนครินทร์ (TH1028)",,Condo For Sale,
For Sale - La Citta Delre Thonglor 16 : ลา ซิตต้า ทองหล่อ 16,http://www.ddproperty.com/property/-ขาย-11346338,"Fri, 01 Nov 2024 23:56:34 +0700","฿ 123,000,000 บาท,
       419 sqft / 38.96 sqm (built-up)        - Condo,
       508-502 ซอยทองหล่อ 16  (TH1039)",,Condo For Sale,
For Sale - Noble Ploenchit : โนเบิล เพลินจิต,http://www.ddproperty.com/property/-ขาย-11346281,"Fri, 01 Nov 2024 23:56:34 +0700","฿ 27,060,000 บาท,
       82 sqft / 7.60 sqm (built-up)        - Condo,
       1035 ถนนเพลินจิต (TH1007)",,Condo For Sale,
For Sale - Tonson One Residence,http://www.ddproperty.com/property/-ขาย-11344292,"Fri, 01 Nov 2024 23:56:34 +0700","฿ 140,000,000 บาท,
       254 sqft / 23.61 sqm (built-up)        - Condo,
        ซอยต้นสน ถนนเพลินจิต (TH1007)",,Condo For Sale,
For Sale - Muniq Langsuan,http://www.ddproperty.com/property/-ขาย-11344283,"Fri, 01 Nov 2024 23:56:34 +0700","฿ 70,620,000 บาท,
       133 sqft / 12.40 sqm (built-up)        - Condo,
        ซอยต้นสน (TH1007)",,Condo For Sale,
For Sale - HQ Thonglor by Sansiri : เฮชคิว บาย แสนสิริ,http://www.ddproperty.com/property/-ขาย-11419040,"Fri, 01 Nov 2024 22:28:43 +0700","฿ 14,950,000,
       79 sqft / 7.34 sqm (built-up)        - Condo,
        ซอยสุขุมวิท 55 แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร (TH1039)",,Condo For Sale,
For Sale - Onyx Phahonyothin,http://www.ddproperty.com/property/-ขาย-11419010,"Fri, 01 Nov 2024 22:28:43 +0700","฿ 5,200,000 บาท,
       43 sqft / 3.99 sqm (built-up)        - Condo,
       1505 ถนนพหลโยธิน (TH1014)",,Condo For Sale,
For Sale - XT Ekkamai,http://www.ddproperty.com/property/-ขาย-11418986,"Fri, 01 Nov 2024 22:28:43 +0700","฿ 6,900,000 บาท,
       47 sqft / 4.32 sqm (built-up)        - Condo,
       259 ถนนสุขุมวิท 63 (TH1039)",,Condo For Sale,
For Sale - Rhythm Asoke : ริทึ่ม อโศก,http://www.ddproperty.com/property/rhythm-asoke-ริทึ่ม-อโศก-กรุงเทพ-ขาย-11018181,"Fri, 01 Nov 2024 22:00:21 +0700","฿ 3,600,000 บาท,
       29 sqft / 2.69 sqm (built-up)        - Condo,
       299 ถนนอโศก - ดินแดง (TH1037)",,Condo For Sale,
For Sale - The Fine at River : เดอะ ฟายน์ แอท ริเวอร์,http://www.ddproperty.com/property/-ขาย-11622506,"Fri, 01 Nov 2024 21:47:15 +0700","฿ 5,500,000 บาท,
       82 sqft / 7.62 sqm (built-up)        - Condo,
        เจริญนคร (TH1018)",,Condo For Sale,
For Sale - The Base Phetkasem : เดอะ เบส เพชรเกษม,http://www.ddproperty.com/property/-ขาย-11405358,"Fri, 01 Nov 2024 21:25:00 +0700","฿ 2,500,000 บาท,
       32 sqft / 3.01 sqm (built-up)        - Condo,
        ถนนเพชรเกษม (TH1022)",,Condo For Sale,
For Sale - Quinn Sukhumvit 101,http://www.ddproperty.com/property/-ขาย-11404920,"Fri, 01 Nov 2024 21:25:00 +0700","฿ 10,000,000 บาท,
       54 sqft / 5.02 sqm (built-up)        - Condo,
       3053  (TH1009)",,Condo For Sale,
For Sale - The Line Phahon-Pradipat : The Line พหลฯ-ประดิพัทธ์,http://www.ddproperty.com/property/-ขาย-11404894,"Fri, 01 Nov 2024 21:25:00 +0700","฿ 9,390,000 บาท,
       52 sqft / 4.83 sqm (built-up)        - Condo,
       21 ประดิพัทธิ์ (TH1014)",,Condo For Sale,
For Sale - Condo One Ladprao Station : คอนโด วัน ลาดพร้าว สเตชั่น,http://www.ddproperty.com/property/-ขาย-11404861,"Fri, 01 Nov 2024 21:25:00 +0700","฿ 3,500,000 บาท,
       46 sqft / 4.30 sqm (built-up)        - Condo,
       18 ลาดพร้าว (TH1030)",,Condo For Sale,
For Sale - The Line Jatujak-Mochit,http://www.ddproperty.com/property/-ขาย-11404792,"Fri, 01 Nov 2024 21:25:00 +0700","฿ 6,600,000 บาท,
       34 sqft / 3.16 sqm (built-up)        - Condo,
        ถนนพหลโยธิน (TH1030)",,Condo For Sale,
For Sale - The Line Phahon-Pradipat : The Line พหลฯ-ประดิพัทธ์,http://www.ddproperty.com/property/-ขาย-11404748,"Fri, 01 Nov 2024 21:25:00 +0700","฿ 12,497,500,
       66 sqft / 6.09 sqm (built-up)        - Condo,
       21 ประดิพัทธิ์ (TH1014)",,Condo For Sale,
For Sale - Kawa Haus,http://www.ddproperty.com/property/-ขาย-11405438,"Fri, 01 Nov 2024 21:24:43 +0700","฿ 4,290,000,
       34 sqft / 3.20 sqm (built-up)        - Condo,
       95 ซอย ริมคลอง (TH1039)",,Condo For Sale,
For Sale - The Address Sathorn : ดิ แอดเดรส สาทร,http://www.ddproperty.com/property/-ขาย-11586565,"Fri, 01 Nov 2024 20:57:43 +0700","฿ 7,450,000 บาท,
       56 sqft / 5.20 sqm (built-up)        - Condo,
       98 ถนนสาทรเหนือ ซอยสาทร 12 แขวงสีลม เขตบางรัก กรุงเทพมหานคร (TH1004)",,Condo For Sale,
For Sale - Crystal Garden Condominium : คริสตัล การ์เด้น,http://www.ddproperty.com/property/-ขาย-11586593,"Fri, 01 Nov 2024 20:57:42 +0700","฿ 65,000,000 บาท,
       300 sqft / 27.87 sqm (built-up)        - Condo,
       217 ถนนสุขุมวิท ซอย 4 (TH1033)",,Condo For Sale,
For Sale - Royce Private Residences : รอย์ช ไพรเวท เรสซิเดนซ์ส,http://www.ddproperty.com/property/-ขาย-11596358,"Fri, 01 Nov 2024 20:25:35 +0700","฿ 19,900,000 บาท,
       111 sqft / 10.31 sqm (built-up)        - Condo,
       61 ซอยสุขุมวิท 31 (TH1039)",,Condo For Sale,
For Sale - Vtara Sukhumvit 36,http://www.ddproperty.com/property/-ขาย-11596338,"Fri, 01 Nov 2024 20:25:35 +0700","฿ 7,500,000 บาท,
       65 sqft / 6.04 sqm (built-up)        - Condo,
       118 ซอยแสนสบาย (TH1033)",,Condo For Sale,
For Sale - Supalai Lite Sathorn-Charoenrat : ศุภาลัย ไลท์ สาทร-เจริญราษฎร์,http://www.ddproperty.com/property/-ขาย-11569899,"Fri, 01 Nov 2024 20:23:00 +0700","฿ 7,400,000 บาท,
       85 sqft / 7.90 sqm (built-up)        - Condo,
       29 ถนนเจริญราษฎร์ (TH1031)",,Condo For Sale,
For Sale - The Line Phahon-Pradipat : The Line พหลฯ-ประดิพัทธ์,http://www.ddproperty.com/property/-ขาย-11383954,"Fri, 01 Nov 2024 20:17:34 +0700","฿ 5,590,000 บาท,
       34 sqft / 3.16 sqm (built-up)        - Condo,
       21 ประดิพัทธิ์ (TH1014)",,Condo For Sale,
For Sale - Prime Mansion Sukhumvit 31 : ไพรม แมนชั่น สุขุมวิท 31,http://www.ddproperty.com/property/-ขาย-11568839,"Fri, 01 Nov 2024 20:16:34 +0700","฿ 19,000,000 บาท,
       137 sqft / 12.73 sqm (built-up)        - Condo,
       222 ซอยสุขุมวิท 31 ถนนสุขุมวิท (TH1039)",,Condo For Sale,
For Sale - The Ritz-Carlton Residences,http://www.ddproperty.com/property/-ขาย-11595003,"Fri, 01 Nov 2024 20:14:00 +0700","฿ 275,000,000 บาท,
       409 sqft / 37.97 sqm (built-up)        - Condo,
       114 Narathiwat Ratchanakarin Road (TH1004)",,Condo For Sale,
For Sale - Mori Haus : โมริ เฮาส์,http://www.ddproperty.com/property/-ขาย-11383862,"Fri, 01 Nov 2024 20:14:00 +0700","฿ 12,950,000 บาท,
       73 sqft / 6.74 sqm (built-up)        - Condo,
        ซอยอ่อนนุช 1/1 ถนนสุขุมวิท 77 (TH1039)",,Condo For Sale,
For Sale - Watermark Chaophraya : วอร์เตอร์มาร์ค เจ้าพระยา,http://www.ddproperty.com/property/-ขาย-11573426,"Fri, 01 Nov 2024 20:11:34 +0700","฿ 29,900,000 บาท,
       273 sqft / 25.36 sqm (built-up)        - Condo,
        ซอยเจริญนคร 39-41 ถนนเจริญนคร (TH1018)",,Condo For Sale,
For Sale - Watermark Chaophraya : วอร์เตอร์มาร์ค เจ้าพระยา,http://www.ddproperty.com/property/-ขาย-11572189,"Fri, 01 Nov 2024 20:11:34 +0700","฿ 10,500,000 บาท,
       105 sqft / 9.77 sqm (built-up)        - Condo,
        ซอยเจริญนคร 39-41 ถนนเจริญนคร (TH1018)",,Condo For Sale,
For Sale - Watermark Chaophraya : วอร์เตอร์มาร์ค เจ้าพระยา,http://www.ddproperty.com/property/-ขาย-11571987,"Fri, 01 Nov 2024 20:11:34 +0700","฿ 16,000,000 บาท,
       146 sqft / 13.56 sqm (built-up)        - Condo,
        ซอยเจริญนคร 39-41 ถนนเจริญนคร (TH1018)",,Condo For Sale,
For Sale - The Base Petchaburi-Thonglor,http://www.ddproperty.com/property/-ขาย-11595044,"Fri, 01 Nov 2024 20:08:34 +0700","฿ 4,290,000 บาท,
       33 sqft / 3.07 sqm (built-up)        - Condo,
        ถนนเพชรบุรี (TH1017)",,Condo For Sale,
For Sale - Liv @ 49,http://www.ddproperty.com/property/-ขาย-11595022,"Fri, 01 Nov 2024 20:08:34 +0700","฿ 17,390,000 บาท,
       95 sqft / 8.83 sqm (built-up)        - Condo,
       9 ซอยสุขุมวิท 49 (TH1039)",,Condo For Sale,
For Sale - The Sky Sukhumvit : เดอะ สกาย สุขุมวิท,http://www.ddproperty.com/property/-ขาย-11594989,"Fri, 01 Nov 2024 20:08:34 +0700","฿ 5,390,000 บาท,
       50 sqft / 4.65 sqm (built-up)        - Condo,
       103-4 ถนนสุขุมวิท (TH1047)",,Condo For Sale,
For Sale - PYNE by Sansiri : ไพน์ บาย แสนสิริ,http://www.ddproperty.com/property/-ขาย-11594954,"Fri, 01 Nov 2024 20:08:34 +0700","฿ 19,350,000 บาท,
       77 sqft / 7.15 sqm (built-up)        - Condo,
        ถนนพญาไท แขวงถนนเพชรบุรี เขตราชเทวี กรุงเทพมหานคร (TH1037)",,Condo For Sale,
